CodeHS,Product_Group,Frequency
41071200,NGUYÊN LIỆU,3
41071200,DA BÒ,1
41071900,NGUYÊN LIỆU,2
41079900,DA MẪU,6
41079900,DA BÒ,1
41079900,NGUYÊN LIỆU,1
41151000,DA TỔNG,1
51119000,VẢI DỆT,4
51121990,VẢI FAME,1
52094900,VẢI DỆT,1
52113900,VẢI DỆT,2
52114190,VẢI DỆT,1
52114190,VẢI PARK,1
52114900,VẢI DỆT,1
52122300,VẢI DỆT,1
54071099,VẢI DỆT,2
54071099,VẢI CHENILLE,1
54075200,VẢI DỆT,9
54075300,VẢI DỆT,2
54076190,VẢI DỆT,13
54076190,VẢI SB,1
54076990,VẢI DỆT,10
54076990,VẢI THOI,3
54076990,VẢI MLSB,1
54076990,"VẢI MNEMONIC-MARBLE,",1
54077200,VẢI DỆT,58
54077200,VẢI DỆ,4
54077200,VẢI CHENILLE,2
54077300,VẢI DỆT,7
54078200,VẢI DỆT,8
54078300,VẢI DỆT,1
54079200,VẢI DỆT,4
54079200,VẢI MLSB,1
54079300,VẢI DỆT,5
55121900,VẢI DỆT,15
55121900,VẢI GURU'S,2
55121900,VẢI A2266,1
55121900,VẢI A2635,1
55121900,VẢI AGNES,1
55121900,VẢI DAPPER,1
55121900,VẢI EDGEVALE,1
55121900,VẢI FLAVIO,1
55121900,VẢI LENNOX,1
55121900,VẢI MARK,1
55121900,VẢI MATTE,1
55121900,VẢI UV,1
55121900,"VẢI VERTEX,",1
55122900,VẢI DỆT,1
55129900,VẢI DỆT,2
55132900,VẢI DỆT,1
55142900,VẢI DỆT,2
55151100,VẢI DỆT,1
55151200,VẢI DỆT,2
55151900,VẢI DỆT,15
55151900,VẢI MLSB,2
55151900,VẢI ARCCOM,1
55151900,VẢI ASSOCIATES-BON,1
55151900,VẢI DỆ,1
55151900,"VẢI FRESHTRACK,",1
55151900,VẢI INVENTORY,1
55151900,"VẢI SENSE,",1
55151900,"VẢI SHELTER,",1
55152100,VẢI DỆT,2
55152200,VẢI DỆT,1
55152900,VẢI DỆT,3
55161200,VẢI DỆT,1
55162300,VẢI DỆT,2
55169200,VẢI DỆT,1
55169300,VẢI DỆT,1
58012690,VẢI CHENILLE,1
58012790,VẢI NHUNG,1
58013310,"VẢI CHENILLE,",2
58013610,VẢI CHENILLE,3
58013610,VẢI DỆT,2
58013610,"VẢI BEATRIX-ISLAND,",1
58013610,"VẢI BEATRIX-LAKELAND,",1
58013610,VẢI MLSB,1
58013610,VẢI NILAN,1
58013690,VẢI CHENILLE,17
58013690,VẢI DỆT,5
58013690,VẢI KONA,2
58013711,VẢI DỆT,1
58013791,VẢI DỆT,3
58013791,VẢI NHUNG,2
58019099,VẢI DỆT,1
58089090,DÂY VẢI,1
59031090,VẢI GIẢ,70
59031090,VẢI DỆT,1
59032000,VẢI GIẢ,22
59032000,VẢI DỆT,2
59039090,VẢI GIẢ,7
59039090,VẢI DỆT,6
59039090,"VẢI AVONDALE-PYRITE,",1
60019290,VẢI DỆT,6
60019290,VẢI NHUNG,3
60053790,VẢI DỆT,7
60063290,VẢI DỆT,20
60064290,VẢI DỆT,1
60069000,VẢI DỆT,1
63041990,BAO GỐI,7
63041990,ÁO GỐI,2
63049100,BAO GHẾ,5
63049190,BAO ÁO,484
63049190,BAO GỐI,269
63049190,ÁO GỐI,134
63049190,BAO GHẾ,108
63049190,ÁO NỆM,26
63049190,VẢI MẪU,7
63079090,VẢI MẪU,232
63079090,VẢI DẠNG,90
63079090,DA DẠNG,1
73181510,PHỤ TÙNG,1
85044090,BỘ ĐỔI,1
85044090,CỔNG SẠC,1
85366992,Ổ CẮM,2
94013900,GHẾ 1S-SWIVEL,19
94013900,GHẾ SOFA,9
94013900,GHẾ XOAY,6
94013900,GHẾ DESK,5
94013900,GHẾ SWIVEL,2
94013900,GHẾ TASK,2
94014100,GHẾ SOFA,4
94014900,GHẾ SOFA,27
94016100,GHẾ SOFA,9767
94016100,GHẾ BẰNG,885
94016100,GHẾ CHAIR,5
94016100,GHẾ BENCH,2
94016100,BAO GHẾ,1
94016100,BAO ÁO,1
94016100,GHẾ BEDROOM,1
94016100,GHẾ DINING,1
94016100,NỆM NGỒI,1
94016100,NỆM TỰA,1
94016100,ÁO GỐI,1
94016100,ÁO NỆM,1
94016100,ĐẦU GIƯỜNG,1
94016990,GHẾ SOFA,1
94017100,GHẾ SOFA,417
94018000,GHẾ SOFA,2
94019099,KHUNG GIƯỜNG,1
94019991,BÁNH XE,1
94019999,BAO ÁO,103
94019999,ÁO NỆM,59
94019999,CỤM TAY,21
94019999,GÓC LƯNG,16
94019999,GÓC MÊ,16
94019999,TAY VỊN,14
94019999,BAO GHẾ,12
94019999,TAY GHẾ,4
94019999,CẦN NÂNG,3
94019999,CHÂN ĐẾ,2
94019999,CƠ CHẾ,2
94019999,KHUNG GIƯỜNG,2
94019999,KHUNG BẰNG,1
94019999,KHUNG CHÂN,1
94019999,KHUNG CƠ,1
94019999,KHUNG GHẾ,1
94019999,VÒNG GÁC,1
94019999,VẢI MẪU,1
94019999,ÁO TAY,1
94032090,BỘ BÀN,1
94035000,GIƯỜNG KING,9
94035000,GIƯỜNG QUEEN,8
94035000,GIƯỜNG BẰNG,2
94036090,BÀN ĐỒ,1
94039100,ĐẦU GIƯỜNG,6
94049000,NỆM NGỒI,178
94049000,NỆM TỰA,83
94049000,GỐI PILLOW,62
94049000,GỐI BẰNG,4
94049000,NỆM TAY,4
94049000,BAO GỐI,3
94049000,NỆM GHẾ,3
94049000,BỘ GỐI,2
